locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNPMNEEE_00402	CDS	402	pfdA			Prefoldin subunit alpha
KNPMNEEE_00403	CDS	936	ftsY		COG0552	Signal recognition particle receptor FtsY
KNPMNEEE_00404	CDS	435				hypothetical protein
KNPMNEEE_00405	CDS	288				hypothetical protein
KNPMNEEE_00406	CDS	477				hypothetical protein
KNPMNEEE_00407	CDS	303				hypothetical protein
KNPMNEEE_00408	CDS	936	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
KNPMNEEE_00409	CDS	453				hypothetical protein
KNPMNEEE_00410	CDS	2031	pacS	7.2.2.8		putative copper-transporting ATPase PacS
KNPMNEEE_00411	CDS	135				hypothetical protein
KNPMNEEE_00412	CDS	519				hypothetical protein
KNPMNEEE_00413	CDS	324				hypothetical protein
KNPMNEEE_00414	CDS	825	tatC			Sec-independent protein translocase protein TatC
KNPMNEEE_00415	CDS	324	tatA			Sec-independent protein translocase protein TatA
KNPMNEEE_00416	CDS	1053				hypothetical protein
KNPMNEEE_00417	CDS	1194	petB			Cytochrome b6
KNPMNEEE_00418	CDS	339				hypothetical protein
KNPMNEEE_00419	CDS	225				hypothetical protein
KNPMNEEE_00420	CDS	774	yfdE_2	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
KNPMNEEE_00421	CDS	219				hypothetical protein
KNPMNEEE_00422	CDS	786	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
KNPMNEEE_00423	CDS	240				hypothetical protein
KNPMNEEE_00424	CDS	987				hypothetical protein
KNPMNEEE_00425	CDS	1755	yveA_3		COG0531	Aspartate-proton symporter
KNPMNEEE_00426	CDS	507				hypothetical protein
KNPMNEEE_00427	CDS	648	kynB_1	3.5.1.9	COG1878	Kynurenine formamidase
KNPMNEEE_00428	CDS	2376	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
KNPMNEEE_00429	CDS	1932	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
KNPMNEEE_00430	CDS	618				hypothetical protein
KNPMNEEE_00431	CDS	240				hypothetical protein
KNPMNEEE_00432	CDS	1644	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
KNPMNEEE_00433	CDS	1020	mnmE	3.6.-.-		tRNA modification GTPase MnmE
KNPMNEEE_00434	CDS	630				hypothetical protein
KNPMNEEE_00435	CDS	534				hypothetical protein
KNPMNEEE_00436	CDS	237				hypothetical protein
KNPMNEEE_00437	CDS	240				hypothetical protein
KNPMNEEE_00438	CDS	336				hypothetical protein
KNPMNEEE_00439	CDS	414				hypothetical protein
KNPMNEEE_00440	CDS	246				hypothetical protein
KNPMNEEE_00441	CDS	339				hypothetical protein
KNPMNEEE_00442	CDS	1407	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
KNPMNEEE_00443	CDS	1497	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
KNPMNEEE_00444	CDS	1884	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
KNPMNEEE_00445	CDS	300	ndhE	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic
KNPMNEEE_00446	CDS	222				hypothetical protein
KNPMNEEE_00447	CDS	252	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
KNPMNEEE_00448	CDS	498	nqo9	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit 9
KNPMNEEE_00449	CDS	1056	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
KNPMNEEE_00450	CDS	1104	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
KNPMNEEE_00451	CDS	456	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
KNPMNEEE_00452	CDS	465	nqo6	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
KNPMNEEE_00453	CDS	435	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
KNPMNEEE_00454	CDS	276				hypothetical protein
KNPMNEEE_00455	CDS	918				hypothetical protein
KNPMNEEE_00456	CDS	621	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
KNPMNEEE_00457	CDS	1209	ansA	3.5.1.1	COG0252	L-asparaginase 1
KNPMNEEE_00458	CDS	1134	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
KNPMNEEE_00459	CDS	210				hypothetical protein
KNPMNEEE_00460	CDS	495	sirC	1.3.1.76		Precorrin-2 dehydrogenase
KNPMNEEE_00461	CDS	636	yecD_1	3.-.-.-	COG1335	Isochorismatase family protein YecD
KNPMNEEE_00462	CDS	1377				hypothetical protein
KNPMNEEE_00463	CDS	339				hypothetical protein
KNPMNEEE_00464	CDS	564				hypothetical protein
KNPMNEEE_00465	CDS	390				hypothetical protein
KNPMNEEE_00466	CDS	246				hypothetical protein
KNPMNEEE_00467	CDS	360				hypothetical protein
KNPMNEEE_00468	CDS	501				hypothetical protein
KNPMNEEE_00469	CDS	708	menG	2.1.1.163		Demethylmenaquinone methyltransferase
KNPMNEEE_00470	CDS	252				hypothetical protein
KNPMNEEE_00471	CDS	300				hypothetical protein
KNPMNEEE_00472	CDS	1314				IS66 family transposase ISArch19
KNPMNEEE_00473	CDS	915	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
KNPMNEEE_00474	CDS	738				hypothetical protein
KNPMNEEE_00475	CDS	357				hypothetical protein
KNPMNEEE_00476	CDS	3507				hypothetical protein
KNPMNEEE_00477	CDS	615				hypothetical protein
KNPMNEEE_00478	CDS	243				hypothetical protein
KNPMNEEE_00479	CDS	267				hypothetical protein
KNPMNEEE_00480	CDS	1062				hypothetical protein
KNPMNEEE_00481	CDS	1341	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
KNPMNEEE_00482	CDS	606		2.7.8.-	COG0558	Phosphatidylinositol phosphate synthase
KNPMNEEE_00483	CDS	1281				hypothetical protein
KNPMNEEE_00484	CDS	789	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
KNPMNEEE_00485	CDS	1032	thiL_1	2.7.4.16		Thiamine-monophosphate kinase
KNPMNEEE_00486	CDS	183				hypothetical protein
KNPMNEEE_00487	CDS	486	thiE	2.5.1.3		Thiamine-phosphate synthase
KNPMNEEE_00488	CDS	771				hypothetical protein
KNPMNEEE_00489	CDS	393	speH	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
KNPMNEEE_00490	CDS	867				hypothetical protein
KNPMNEEE_00491	CDS	1479	infB			Translation initiation factor IF-2
KNPMNEEE_00492	CDS	420	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
KNPMNEEE_00493	CDS	210				hypothetical protein
KNPMNEEE_00494	CDS	582				hypothetical protein
KNPMNEEE_00495	CDS	216				hypothetical protein
KNPMNEEE_00496	CDS	897	yhjE			Inner membrane metabolite transport protein YhjE
KNPMNEEE_00497	CDS	528				hypothetical protein
KNPMNEEE_00498	CDS	1146	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
KNPMNEEE_00499	CDS	3477				hypothetical protein
KNPMNEEE_00500	CDS	942	hycD		COG0650	Formate hydrogenlyase subunit 4
KNPMNEEE_00501	CDS	642				hypothetical protein
KNPMNEEE_00502	CDS	1326	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
KNPMNEEE_00503	CDS	1155	hycE		COG3261	Formate hydrogenlyase subunit 5
KNPMNEEE_00504	CDS	630	ndhK	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
KNPMNEEE_00505	CDS	1746	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
KNPMNEEE_00506	CDS	1086				hypothetical protein
KNPMNEEE_00507	CDS	201				hypothetical protein
KNPMNEEE_00508	CDS	159				hypothetical protein
KNPMNEEE_00509	CDS	513				hypothetical protein
KNPMNEEE_00510	CDS	255				hypothetical protein
KNPMNEEE_00511	CDS	2250	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
KNPMNEEE_00512	CDS	243	purS	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
KNPMNEEE_00513	CDS	318				hypothetical protein
KNPMNEEE_00514	CDS	954				hypothetical protein
KNPMNEEE_00515	CDS	156	pcrB	2.5.1.-		Geranylgeranylglyceryl phosphate synthase
KNPMNEEE_00516	CDS	627		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
KNPMNEEE_00517	CDS	546				hypothetical protein
KNPMNEEE_00518	CDS	357				hypothetical protein
KNPMNEEE_00519	CDS	552				hypothetical protein
KNPMNEEE_00520	CDS	1056	trm1	2.1.1.215		tRNA (guanine(26)-N(2))-dimethyltransferase
KNPMNEEE_00521	CDS	465				hypothetical protein
KNPMNEEE_00522	CDS	756	cinA			Putative competence-damage inducible protein
KNPMNEEE_00523	CDS	1107	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
KNPMNEEE_00524	CDS	888	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
KNPMNEEE_00525	CDS	759				hypothetical protein
KNPMNEEE_00526	CDS	303				hypothetical protein
KNPMNEEE_00527	CDS	1362	csbC_2			putative metabolite transport protein CsbC
KNPMNEEE_00528	CDS	762	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
KNPMNEEE_00529	CDS	714				hypothetical protein
KNPMNEEE_00530	CDS	351				hypothetical protein
KNPMNEEE_00531	CDS	927	cugP_2	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
KNPMNEEE_00532	CDS	1314	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
KNPMNEEE_00533	CDS	1140				hypothetical protein
KNPMNEEE_00534	CDS	1065				hypothetical protein
KNPMNEEE_00535	CDS	522				hypothetical protein
KNPMNEEE_00536	CDS	348				hypothetical protein
KNPMNEEE_00537	CDS	279				hypothetical protein
KNPMNEEE_00538	CDS	609				hypothetical protein
KNPMNEEE_00539	CDS	420				hypothetical protein
KNPMNEEE_00540	CDS	666	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
KNPMNEEE_00541	CDS	1413				hypothetical protein
KNPMNEEE_00542	CDS	324				hypothetical protein
KNPMNEEE_00543	CDS	288				hypothetical protein
KNPMNEEE_00544	CDS	1260	amaB	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
KNPMNEEE_00545	CDS	1374		3.5.2.-		D-hydantoinase
KNPMNEEE_00546	CDS	165				hypothetical protein
KNPMNEEE_00547	CDS	1131				hypothetical protein
KNPMNEEE_00548	CDS	1512	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
KNPMNEEE_00549	CDS	714				hypothetical protein
KNPMNEEE_00550	CDS	864	nfo	3.1.21.2	COG0648	putative endonuclease 4
KNPMNEEE_00551	tRNA	75				tRNA-Thr(cgt)
KNPMNEEE_00552	CDS	213				hypothetical protein
KNPMNEEE_00553	CDS	252				hypothetical protein
KNPMNEEE_00554	CDS	315	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
KNPMNEEE_00555	CDS	834				hypothetical protein
KNPMNEEE_00556	CDS	1446	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
KNPMNEEE_00557	CDS	591	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KNPMNEEE_00558	CDS	201				hypothetical protein
KNPMNEEE_00559	CDS	489	mobA_2	2.7.7.77		Molybdenum cofactor guanylyltransferase
KNPMNEEE_00560	CDS	1131				hypothetical protein
KNPMNEEE_00561	tRNA	85				tRNA-Leu(aag)
KNPMNEEE_00562	CDS	2673	recB	3.1.11.5		RecBCD enzyme subunit RecB
KNPMNEEE_00563	CDS	819	fdhD		COG1526	Sulfur carrier protein FdhD
KNPMNEEE_00564	CDS	432				hypothetical protein
KNPMNEEE_00565	CDS	2895		1.17.1.9		Putative formate dehydrogenase
KNPMNEEE_00566	CDS	597				hypothetical protein
KNPMNEEE_00567	CDS	459				hypothetical protein
KNPMNEEE_00568	CDS	546	mobA_3	2.7.7.77		Molybdenum cofactor guanylyltransferase
KNPMNEEE_00569	CDS	405				hypothetical protein
KNPMNEEE_00570	CDS	1278				hypothetical protein
KNPMNEEE_00571	CDS	753	moeA_1	2.10.1.1		Molybdopterin molybdenumtransferase
KNPMNEEE_00572	CDS	474	moeA_2	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
KNPMNEEE_00573	CDS	1653				hypothetical protein
KNPMNEEE_00574	CDS	1512	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
KNPMNEEE_00575	CDS	192				hypothetical protein
KNPMNEEE_00576	CDS	2466				hypothetical protein
KNPMNEEE_00577	CDS	714	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
KNPMNEEE_00578	CDS	1191	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
KNPMNEEE_00579	CDS	108				hypothetical protein
KNPMNEEE_00580	CDS	786				hypothetical protein
KNPMNEEE_00581	CDS	567				hypothetical protein
KNPMNEEE_00582	CDS	135				hypothetical protein
KNPMNEEE_00583	CDS	300				IS607 family transposase ISTvo1
KNPMNEEE_00584	tRNA	73				tRNA-Val(tac)
KNPMNEEE_00585	CDS	378				hypothetical protein
KNPMNEEE_00586	CDS	276				hypothetical protein
KNPMNEEE_00587	CDS	2037	topB	5.6.2.1	COG0550	DNA topoisomerase 3
KNPMNEEE_00588	CDS	894				hypothetical protein
KNPMNEEE_00589	CDS	465	purH_1		COG0138	Bifunctional purine biosynthesis protein PurH
KNPMNEEE_00590	CDS	1047	purH_2			Bifunctional purine biosynthesis protein PurH
KNPMNEEE_00591	CDS	1176	polX_1		COG1387	DNA polymerase/3'-5' exonuclease PolX
KNPMNEEE_00592	CDS	543	polX_2		COG1387	DNA polymerase/3'-5' exonuclease PolX
KNPMNEEE_00593	CDS	393				hypothetical protein
KNPMNEEE_00594	CDS	456				hypothetical protein
KNPMNEEE_00595	CDS	777				hypothetical protein
KNPMNEEE_00596	CDS	1215	mat	2.5.1.6		S-adenosylmethionine synthase
KNPMNEEE_00597	CDS	393				hypothetical protein
KNPMNEEE_00598	CDS	402				hypothetical protein
KNPMNEEE_00599	CDS	990				hypothetical protein
KNPMNEEE_00600	CDS	1578	ppcA	4.1.1.31		Phosphoenolpyruvate carboxylase
KNPMNEEE_00601	CDS	258				hypothetical protein
KNPMNEEE_00602	CDS	327				hypothetical protein
KNPMNEEE_00603	CDS	2094	fni_1	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
KNPMNEEE_00604	CDS	1896	purF_1	2.4.2.14		Amidophosphoribosyltransferase
KNPMNEEE_00605	CDS	1140	yjiB_2	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
KNPMNEEE_00606	CDS	777				hypothetical protein
KNPMNEEE_00607	CDS	1854				hypothetical protein
KNPMNEEE_00608	CDS	969	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
KNPMNEEE_00609	CDS	720	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
KNPMNEEE_00610	CDS	936		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
KNPMNEEE_00611	CDS	663				hypothetical protein
KNPMNEEE_00612	CDS	516				hypothetical protein
KNPMNEEE_00613	CDS	606				hypothetical protein
KNPMNEEE_00614	CDS	600	pspB_1	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
KNPMNEEE_00615	CDS	1560	yveA_4		COG0531	Aspartate-proton symporter
KNPMNEEE_00616	CDS	1302	arcA_1	3.5.3.6		Arginine deiminase
KNPMNEEE_00617	CDS	900	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
KNPMNEEE_00618	CDS	858	arcC2	2.7.2.2		Carbamate kinase 2
KNPMNEEE_00619	CDS	639	amt_1			Ammonia channel
KNPMNEEE_00620	CDS	537	amt_2			Ammonia channel
KNPMNEEE_00621	tRNA	77				tRNA-Arg(tct)
KNPMNEEE_00622	CDS	246				hypothetical protein
KNPMNEEE_00623	CDS	411				hypothetical protein
KNPMNEEE_00624	CDS	711	dnaJ_1			Chaperone protein DnaJ
KNPMNEEE_00625	CDS	1230		3.1.-.-	COG1236	Ribonuclease
KNPMNEEE_00626	CDS	774	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
KNPMNEEE_00627	CDS	729				hypothetical protein
KNPMNEEE_00628	CDS	420	hldE	2.7.7.70		Bifunctional protein HldE
KNPMNEEE_00629	CDS	384				hypothetical protein
KNPMNEEE_00630	CDS	234				hypothetical protein
KNPMNEEE_00631	CDS	165				hypothetical protein
KNPMNEEE_00632	CDS	546				hypothetical protein
KNPMNEEE_00633	CDS	633	nth_1	4.2.99.18	COG0177	Endonuclease III
KNPMNEEE_00634	CDS	603				hypothetical protein
KNPMNEEE_00635	CDS	1140	gmd_2	4.2.1.47		GDP-mannose 4,6-dehydratase
KNPMNEEE_00636	CDS	723	glmU	2.7.7.23		Bifunctional protein GlmU
KNPMNEEE_00637	CDS	936	ttuA	2.8.1.15	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
KNPMNEEE_00638	tRNA	75				tRNA-Ile(gat)
KNPMNEEE_00639	CDS	852	dpnM	2.1.1.72		Modification methylase DpnIIA
KNPMNEEE_00640	CDS	882				hypothetical protein
KNPMNEEE_00641	CDS	147				hypothetical protein
KNPMNEEE_00642	CDS	609				hypothetical protein
KNPMNEEE_00643	CDS	210				hypothetical protein
KNPMNEEE_00644	CDS	549	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
KNPMNEEE_00645	CDS	378				hypothetical protein
KNPMNEEE_00646	CDS	624				hypothetical protein
KNPMNEEE_00647	CDS	1677	hutU	4.2.1.49	COG2987	Urocanate hydratase
KNPMNEEE_00648	CDS	1191	naiP_2			Putative niacin/nicotinamide transporter NaiP
KNPMNEEE_00649	CDS	90				hypothetical protein
KNPMNEEE_00650	CDS	1257	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
KNPMNEEE_00651	CDS	450				hypothetical protein
KNPMNEEE_00652	CDS	825	lysX_1	6.3.2.43	COG0189	Alpha-aminoadipate--LysW ligase LysX
KNPMNEEE_00653	CDS	951	hisC_2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
KNPMNEEE_00654	CDS	900		2.1.2.5	COG3643	Glutamate formimidoyltransferase
KNPMNEEE_00655	CDS	432				hypothetical protein
KNPMNEEE_00656	CDS	294				hypothetical protein
KNPMNEEE_00657	CDS	423				hypothetical protein
KNPMNEEE_00658	CDS	522				hypothetical protein
KNPMNEEE_00659	CDS	219				hypothetical protein
KNPMNEEE_00660	CDS	1299	csbC_3			putative metabolite transport protein CsbC
KNPMNEEE_00661	CDS	690	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
KNPMNEEE_00662	CDS	633		3.5.2.-		D-hydantoinase
KNPMNEEE_00663	CDS	144				hypothetical protein
KNPMNEEE_00664	CDS	330				hypothetical protein
KNPMNEEE_00665	CDS	825				IS256 family transposase ISFac8
KNPMNEEE_00666	CDS	237				hypothetical protein
KNPMNEEE_00667	CDS	258				hypothetical protein
KNPMNEEE_00668	CDS	4113				hypothetical protein
KNPMNEEE_00669	CDS	342				hypothetical protein
KNPMNEEE_00670	CDS	2109			COG1123	putative ABC transporter ATP-binding protein
KNPMNEEE_00671	CDS	2190				hypothetical protein
KNPMNEEE_00672	CDS	990	gsiC		COG0601	Glutathione transport system permease protein GsiC
KNPMNEEE_00673	CDS	744	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNPMNEEE_00674	CDS	600	betI			HTH-type transcriptional regulator BetI
KNPMNEEE_00675	CDS	996	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
KNPMNEEE_00676	CDS	312		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
KNPMNEEE_00677	CDS	1086	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KNPMNEEE_00678	CDS	831	catD	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
KNPMNEEE_00679	CDS	1401	ydjE_2			Inner membrane metabolite transport protein YdjE
KNPMNEEE_00680	CDS	405				hypothetical protein
KNPMNEEE_00681	CDS	141				hypothetical protein
KNPMNEEE_00682	CDS	177				hypothetical protein
KNPMNEEE_00683	CDS	183				hypothetical protein
KNPMNEEE_00684	CDS	351				hypothetical protein
KNPMNEEE_00685	CDS	1179	mdtG			Multidrug resistance protein MdtG
KNPMNEEE_00686	CDS	258				hypothetical protein
KNPMNEEE_00687	CDS	1005				hypothetical protein
KNPMNEEE_00688	CDS	204				hypothetical protein
KNPMNEEE_00689	CDS	633				hypothetical protein
KNPMNEEE_00690	CDS	1050				hypothetical protein
KNPMNEEE_00691	CDS	501				hypothetical protein
KNPMNEEE_00692	CDS	381				hypothetical protein
KNPMNEEE_00693	CDS	747	cobS	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
KNPMNEEE_00694	CDS	513	yrdA_1		COG0663	Protein YrdA
KNPMNEEE_00695	CDS	828	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
KNPMNEEE_00696	CDS	954	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
KNPMNEEE_00697	CDS	672	tal_1	2.2.1.2	COG0176	Transaldolase
KNPMNEEE_00698	CDS	1914	rnj	3.1.-.-		Ribonuclease J
KNPMNEEE_00699	CDS	633	prcB	3.4.25.1	COG0638	Proteasome subunit beta
KNPMNEEE_00700	CDS	483				hypothetical protein
KNPMNEEE_00701	CDS	258				hypothetical protein
KNPMNEEE_00702	CDS	1605				hypothetical protein
KNPMNEEE_00703	CDS	204				hypothetical protein
KNPMNEEE_00704	CDS	174				hypothetical protein
KNPMNEEE_00705	CDS	270				hypothetical protein
KNPMNEEE_00706	CDS	162				hypothetical protein
KNPMNEEE_00707	CDS	1749	lig	6.5.1.1		DNA ligase
KNPMNEEE_00708	CDS	495				hypothetical protein
KNPMNEEE_00709	CDS	258				hypothetical protein
KNPMNEEE_00710	tRNA	75				tRNA-Met(cat)
KNPMNEEE_00711	tRNA	74				tRNA-Asn(gtt)
KNPMNEEE_00712	CDS	393				hypothetical protein
KNPMNEEE_00713	CDS	1866	dinG	3.1.-.-		3'-5' exonuclease DinG
KNPMNEEE_00714	CDS	1194				hypothetical protein
KNPMNEEE_00715	CDS	666		2.4.-.-	COG0463	putative glycosyltransferase
KNPMNEEE_00716	CDS	618	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KNPMNEEE_00717	CDS	534				hypothetical protein
KNPMNEEE_00718	CDS	1677				hypothetical protein
KNPMNEEE_00719	CDS	198				hypothetical protein
KNPMNEEE_00720	CDS	492				hypothetical protein
KNPMNEEE_00721	CDS	900				hypothetical protein
KNPMNEEE_00722	CDS	768	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNPMNEEE_00723	CDS	972				hypothetical protein
KNPMNEEE_00724	CDS	186				hypothetical protein
KNPMNEEE_00725	CDS	1161				hypothetical protein
KNPMNEEE_00726	CDS	993	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
KNPMNEEE_00727	CDS	294				hypothetical protein
KNPMNEEE_00728	CDS	390				hypothetical protein
KNPMNEEE_00729	CDS	252				hypothetical protein
KNPMNEEE_00730	tRNA	86				tRNA-Leu(taa)
KNPMNEEE_00731	CDS	1737	mdlC_3	4.1.1.7		Benzoylformate decarboxylase
KNPMNEEE_00732	tRNA	74				tRNA-Arg(gcg)
KNPMNEEE_00733	CDS	906	argF_2	2.1.3.3	COG0078	Ornithine carbamoyltransferase
KNPMNEEE_00734	CDS	786	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
KNPMNEEE_00735	CDS	195				hypothetical protein
KNPMNEEE_00736	CDS	1638	groL_1		COG0459	60 kDa chaperonin
KNPMNEEE_00737	CDS	1554	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
KNPMNEEE_00738	CDS	843				hypothetical protein
KNPMNEEE_00739	CDS	468				hypothetical protein
KNPMNEEE_00740	tRNA	73				tRNA-Gln(ctg)
KNPMNEEE_00741	CDS	1071	aroC	4.2.3.5	COG0082	Chorismate synthase
KNPMNEEE_00742	CDS	1728				hypothetical protein
KNPMNEEE_00743	CDS	1065				hypothetical protein
KNPMNEEE_00744	CDS	690				hypothetical protein
KNPMNEEE_00745	CDS	714				hypothetical protein
KNPMNEEE_00746	CDS	369				hypothetical protein
KNPMNEEE_00747	CDS	318				hypothetical protein
KNPMNEEE_00748	CDS	810	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KNPMNEEE_00749	CDS	288	acsA_3	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KNPMNEEE_00750	CDS	483				hypothetical protein
KNPMNEEE_00751	CDS	585				hypothetical protein
KNPMNEEE_00752	CDS	975	acs_2	6.2.1.1		Acetyl-coenzyme A synthetase
KNPMNEEE_00753	CDS	882	fixB_1		COG2025	Protein FixB
KNPMNEEE_00754	CDS	801	fixA			Protein FixA
KNPMNEEE_00755	CDS	276				hypothetical protein
KNPMNEEE_00756	CDS	3306				hypothetical protein
KNPMNEEE_00757	CDS	603	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
KNPMNEEE_00758	CDS	321	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
KNPMNEEE_00759	CDS	1314	fhs_2	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
KNPMNEEE_00760	CDS	1251	csbC_4			putative metabolite transport protein CsbC
KNPMNEEE_00761	CDS	450				hypothetical protein
KNPMNEEE_00762	CDS	1233				hypothetical protein
KNPMNEEE_00763	CDS	1125	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
KNPMNEEE_00764	CDS	1206	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
KNPMNEEE_00765	CDS	270	acyP	3.6.1.7	COG1254	Acylphosphatase
KNPMNEEE_00766	CDS	630				hypothetical protein
KNPMNEEE_00767	CDS	1467	ythA_1	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
KNPMNEEE_00768	CDS	1092				hypothetical protein
KNPMNEEE_00769	CDS	1083	obg	3.6.5.-		GTPase Obg
KNPMNEEE_00770	CDS	543	prmC	2.1.1.297		Release factor glutamine methyltransferase
KNPMNEEE_00771	CDS	2685	smc_1			Chromosome partition protein Smc
KNPMNEEE_00772	CDS	1119	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KNPMNEEE_00773	CDS	1554				hypothetical protein
KNPMNEEE_00774	CDS	1065				hypothetical protein
KNPMNEEE_00775	CDS	159				hypothetical protein
KNPMNEEE_00776	CDS	900				hypothetical protein
KNPMNEEE_00777	tRNA	73				tRNA-Val(cac)
KNPMNEEE_00778	CDS	255				hypothetical protein
KNPMNEEE_00779	CDS	525				hypothetical protein
KNPMNEEE_00780	CDS	1086				hypothetical protein
KNPMNEEE_00781	CDS	261				hypothetical protein
KNPMNEEE_00782	CDS	282				hypothetical protein
KNPMNEEE_00783	CDS	384				hypothetical protein
KNPMNEEE_00784	CDS	120				hypothetical protein
KNPMNEEE_00785	CDS	258				hypothetical protein
