item	layer	value
GC_00000863	S259100328	1
GC_00000863	S259100333	1
GC_00000863	S259100335	0
GC_00000863	S259100337	1
GC_00000863	S259100341	1
GC_00000863	S25910037	1
GC_00000863	S25910039	1
GC_00000863	S33314612	1
GC_00000863	S749695	1
GC_00000863	SFerroplasmacircular	1
GC_00000863	SMAG00006	1
GC_00000864	S12936484	1
GC_00000864	S259100318	1
GC_00000864	S259100328	1
GC_00000864	S259100333	1
GC_00000864	S259100335	0
GC_00000864	S259100337	1
GC_00000864	S259100341	1
GC_00000864	S25910037	1
GC_00000864	S25910039	1
GC_00000864	S33314612	1
GC_00000864	S749695	1
GC_00000864	SFerroplasmacircular	1
GC_00000864	SMAG00006	1
GC_00000865	S12936484	1
GC_00000865	S259100318	1
GC_00000865	S259100328	0
GC_00000865	S259100333	1
GC_00000865	S259100335	1
GC_00000865	S259100337	1
GC_00000865	S259100341	1
GC_00000865	S25910037	0
GC_00000865	S25910039	1
GC_00000865	S33314612	1
GC_00000865	S749695	1
GC_00000865	SFerroplasmacircular	1
GC_00000865	SMAG00006	1
GC_00000866	S12936484	1
GC_00000866	S259100318	1
GC_00000866	S259100328	1
GC_00000866	S259100333	1
GC_00000866	S259100335	1
GC_00000866	S259100337	1
GC_00000866	S259100341	1
GC_00000866	S25910037	0
GC_00000866	S25910039	1
GC_00000866	S33314612	1
GC_00000866	S749695	1
GC_00000866	SFerroplasmacircular	1
GC_00000866	SMAG00006	1
GC_00000867	S12936484	0
GC_00000867	S259100318	1
GC_00000867	S259100328	1
GC_00000867	S259100333	1
GC_00000867	S259100335	1
GC_00000867	S259100337	1
GC_00000867	S259100341	1
GC_00000867	S25910037	1
GC_00000867	S25910039	1
GC_00000867	S33314612	1
GC_00000867	S749695	1
GC_00000867	SFerroplasmacircular	1
GC_00000867	SMAG00006	1
GC_00000868	S12936484	1
GC_00000868	S259100318	1
GC_00000868	S259100328	1
GC_00000868	S259100333	0
GC_00000868	S259100335	1
GC_00000868	S259100337	1
GC_00000868	S259100341	1
GC_00000868	S25910037	1
GC_00000868	S25910039	1
GC_00000868	S33314612	1
GC_00000868	S749695	1
GC_00000868	SFerroplasmacircular	1
GC_00000868	SMAG00006	1
GC_00000869	S12936484	1
GC_00000869	S259100318	0
GC_00000869	S259100328	0
GC_00000869	S259100333	1
GC_00000869	S259100335	1
GC_00000869	S259100337	1
GC_00000869	S259100341	1
GC_00000869	S25910037	0
GC_00000869	S25910039	1
GC_00000869	S33314612	1
GC_00000869	S749695	1
GC_00000869	SFerroplasmacircular	1
GC_00000869	SMAG00006	1
GC_00000870	S12936484	1
GC_00000870	S259100318	1
GC_00000870	S259100328	1
GC_00000870	S259100333	1
GC_00000870	S259100335	1
GC_00000870	S259100337	0
GC_00000870	S259100341	1
GC_00000870	S25910037	1
GC_00000870	S25910039	1
GC_00000870	S33314612	1
GC_00000870	S749695	1
GC_00000870	SFerroplasmacircular	1
GC_00000870	SMAG00006	1
GC_00000871	S12936484	1
GC_00000871	S259100318	1
GC_00000871	S259100328	1
GC_00000871	S259100333	0
GC_00000871	S259100335	1
GC_00000871	S259100337	1
GC_00000871	S259100341	1
GC_00000871	S25910037	1
GC_00000871	S25910039	1
GC_00000871	S33314612	1
GC_00000871	S749695	1
GC_00000871	SFerroplasmacircular	1
GC_00000871	SMAG00006	1
GC_00000872	S12936484	1
GC_00000872	S259100318	1
GC_00000872	S259100328	1
GC_00000872	S259100333	0
GC_00000872	S259100335	1
GC_00000872	S259100337	1
GC_00000872	S259100341	1
GC_00000872	S25910037	1
GC_00000872	S25910039	1
GC_00000872	S33314612	1
GC_00000872	S749695	1
GC_00000872	SFerroplasmacircular	1
GC_00000872	SMAG00006	1
GC_00000873	S12936484	1
GC_00000873	S259100318	1
GC_00000873	S259100328	1
GC_00000873	S259100333	1
GC_00000873	S259100335	0
GC_00000873	S259100337	1
GC_00000873	S259100341	1
GC_00000873	S25910037	1
GC_00000873	S25910039	1
GC_00000873	S33314612	1
GC_00000873	S749695	1
GC_00000873	SFerroplasmacircular	1
GC_00000873	SMAG00006	1
GC_00000874	S12936484	1
GC_00000874	S259100318	1
GC_00000874	S259100328	1
GC_00000874	S259100333	1
GC_00000874	S259100335	1
GC_00000874	S259100337	0
GC_00000874	S259100341	0
GC_00000874	S25910037	1
GC_00000874	S25910039	1
GC_00000874	S33314612	1
GC_00000874	S749695	1
GC_00000874	SFerroplasmacircular	1
GC_00000874	SMAG00006	1
GC_00000875	S12936484	1
GC_00000875	S259100318	1
GC_00000875	S259100328	1
GC_00000875	S259100333	1
GC_00000875	S259100335	1
GC_00000875	S259100337	0
GC_00000875	S259100341	1
GC_00000875	S25910037	1
GC_00000875	S25910039	1
GC_00000875	S33314612	1
GC_00000875	S749695	1
GC_00000875	SFerroplasmacircular	1
GC_00000875	SMAG00006	1
GC_00000876	S12936484	1
GC_00000876	S259100318	1
GC_00000876	S259100328	1
GC_00000876	S259100333	1
GC_00000876	S259100335	1
GC_00000876	S259100337	1
GC_00000876	S259100341	1
GC_00000876	S25910037	1
GC_00000876	S25910039	1
GC_00000876	S33314612	0
GC_00000876	S749695	1
GC_00000876	SFerroplasmacircular	1
GC_00000876	SMAG00006	1
GC_00000877	S12936484	1
GC_00000877	S259100318	1
GC_00000877	S259100328	1
GC_00000877	S259100333	0
GC_00000877	S259100335	1
GC_00000877	S259100337	1
GC_00000877	S259100341	1
GC_00000877	S25910037	1
GC_00000877	S25910039	1
GC_00000877	S33314612	1
GC_00000877	S749695	1
GC_00000877	SFerroplasmacircular	1
GC_00000877	SMAG00006	1
GC_00000878	S12936484	1
GC_00000878	S259100318	1
GC_00000878	S259100328	1
GC_00000878	S259100333	0
GC_00000878	S259100335	1
GC_00000878	S259100337	1
GC_00000878	S259100341	0
GC_00000878	S25910037	1
GC_00000878	S25910039	1
GC_00000878	S33314612	1
GC_00000878	S749695	1
GC_00000878	SFerroplasmacircular	1
GC_00000878	SMAG00006	1
GC_00000879	S12936484	1
GC_00000879	S259100318	1
GC_00000879	S259100328	1
GC_00000879	S259100333	1
GC_00000879	S259100335	1
GC_00000879	S259100337	0
GC_00000879	S259100341	1
GC_00000879	S25910037	1
GC_00000879	S25910039	1
GC_00000879	S33314612	1
GC_00000879	S749695	1
GC_00000879	SFerroplasmacircular	1
GC_00000879	SMAG00006	1
GC_00000880	S12936484	1
GC_00000880	S259100318	1
GC_00000880	S259100328	1
GC_00000880	S259100333	1
GC_00000880	S259100335	0
GC_00000880	S259100337	1
GC_00000880	S259100341	1
GC_00000880	S25910037	1
GC_00000880	S25910039	1
GC_00000880	S33314612	1
GC_00000880	S749695	1
GC_00000880	SFerroplasmacircular	1
GC_00000880	SMAG00006	1
GC_00000881	S12936484	1
GC_00000881	S259100318	1
GC_00000881	S259100328	1
GC_00000881	S259100333	1
GC_00000881	S259100335	1
GC_00000881	S259100337	1
GC_00000881	S259100341	1
GC_00000881	S25910037	1
GC_00000881	S25910039	0
GC_00000881	S33314612	1
GC_00000881	S749695	1
GC_00000881	SFerroplasmacircular	1
GC_00000881	SMAG00006	1
GC_00000882	S12936484	1
GC_00000882	S259100318	1
GC_00000882	S259100328	1
GC_00000882	S259100333	1
GC_00000882	S259100335	1
GC_00000882	S259100337	1
GC_00000882	S259100341	1
GC_00000882	S25910037	0
GC_00000882	S25910039	1
GC_00000882	S33314612	1
GC_00000882	S749695	1
GC_00000882	SFerroplasmacircular	1
GC_00000882	SMAG00006	1
GC_00000883	S12936484	1
GC_00000883	S259100318	1
GC_00000883	S259100328	1
GC_00000883	S259100333	1
GC_00000883	S259100335	0
GC_00000883	S259100337	1
GC_00000883	S259100341	1
GC_00000883	S25910037	0
GC_00000883	S25910039	1
GC_00000883	S33314612	1
GC_00000883	S749695	1
GC_00000883	SFerroplasmacircular	0
GC_00000883	SMAG00006	0
GC_00000884	S12936484	1
GC_00000884	S259100318	1
GC_00000884	S259100328	1
GC_00000884	S259100333	0
GC_00000884	S259100335	1
GC_00000884	S259100337	1
GC_00000884	S259100341	1
GC_00000884	S25910037	1
GC_00000884	S25910039	1
GC_00000884	S33314612	1
GC_00000884	S749695	1
GC_00000884	SFerroplasmacircular	1
GC_00000884	SMAG00006	1
GC_00000885	S12936484	1
GC_00000885	S259100318	1
GC_00000885	S259100328	1
GC_00000885	S259100333	1
GC_00000885	S259100335	1
GC_00000885	S259100337	0
GC_00000885	S259100341	1
GC_00000885	S25910037	1
GC_00000885	S25910039	1
GC_00000885	S33314612	1
GC_00000885	S749695	1
GC_00000885	SFerroplasmacircular	1
GC_00000885	SMAG00006	1
GC_00000886	S12936484	0
GC_00000886	S259100318	1
GC_00000886	S259100328	1
GC_00000886	S259100333	1
GC_00000886	S259100335	1
GC_00000886	S259100337	1
GC_00000886	S259100341	0
GC_00000886	S25910037	0
GC_00000886	S25910039	0
GC_00000886	S33314612	1
GC_00000886	S749695	1
GC_00000886	SFerroplasmacircular	0
GC_00000886	SMAG00006	1
GC_00000887	S12936484	1
GC_00000887	S259100318	1
GC_00000887	S259100328	1
GC_00000887	S259100333	1
GC_00000887	S259100335	1
GC_00000887	S259100337	0
GC_00000887	S259100341	1
GC_00000887	S25910037	1
GC_00000887	S25910039	1
GC_00000887	S33314612	1
GC_00000887	S749695	1
GC_00000887	SFerroplasmacircular	1
GC_00000887	SMAG00006	1
GC_00000888	S12936484	1
GC_00000888	S259100318	1
GC_00000888	S259100328	1
GC_00000888	S259100333	0
GC_00000888	S259100335	1
GC_00000888	S259100337	1
GC_00000888	S259100341	1
GC_00000888	S25910037	1
GC_00000888	S25910039	1
GC_00000888	S33314612	1
GC_00000888	S749695	1
GC_00000888	SFerroplasmacircular	1
GC_00000888	SMAG00006	1
GC_00000889	S12936484	1
GC_00000889	S259100318	1
GC_00000889	S259100328	1
GC_00000889	S259100333	1
GC_00000889	S259100335	0
GC_00000889	S259100337	1
GC_00000889	S259100341	1
GC_00000889	S25910037	1
GC_00000889	S25910039	1
GC_00000889	S33314612	1
GC_00000889	S749695	1
GC_00000889	SFerroplasmacircular	1
GC_00000889	SMAG00006	1
GC_00000890	S12936484	1
GC_00000890	S259100318	1
GC_00000890	S259100328	1
GC_00000890	S259100333	1
GC_00000890	S259100335	1
GC_00000890	S259100337	1
GC_00000890	S259100341	1
GC_00000890	S25910037	0
GC_00000890	S25910039	1
GC_00000890	S33314612	1
GC_00000890	S749695	1
GC_00000890	SFerroplasmacircular	1
GC_00000890	SMAG00006	1
GC_00000891	S12936484	0
GC_00000891	S259100318	1
GC_00000891	S259100328	1
GC_00000891	S259100333	1
GC_00000891	S259100335	1
GC_00000891	S259100337	1
GC_00000891	S259100341	1
GC_00000891	S25910037	1
GC_00000891	S25910039	1
GC_00000891	S33314612	1
GC_00000891	S749695	1
GC_00000891	SFerroplasmacircular	1
GC_00000891	SMAG00006	1
GC_00000892	S12936484	1
GC_00000892	S259100318	1
GC_00000892	S259100328	1
GC_00000892	S259100333	1
GC_00000892	S259100335	1
GC_00000892	S259100337	1
GC_00000892	S259100341	1
GC_00000892	S25910037	0
GC_00000892	S25910039	1
GC_00000892	S33314612	1
GC_00000892	S749695	1
GC_00000892	SFerroplasmacircular	1
GC_00000892	SMAG00006	1
GC_00000893	S12936484	1
GC_00000893	S259100318	1
GC_00000893	S259100328	1
GC_00000893	S259100333	0
GC_00000893	S259100335	1
GC_00000893	S259100337	1
GC_00000893	S259100341	1
GC_00000893	S25910037	1
GC_00000893	S25910039	1
GC_00000893	S33314612	1
GC_00000893	S749695	1
GC_00000893	SFerroplasmacircular	1
GC_00000893	SMAG00006	1
GC_00000894	S12936484	1
GC_00000894	S259100318	1
GC_00000894	S259100328	1
GC_00000894	S259100333	0
GC_00000894	S259100335	1
GC_00000894	S259100337	1
GC_00000894	S259100341	1
GC_00000894	S25910037	1
GC_00000894	S25910039	1
GC_00000894	S33314612	1
GC_00000894	S749695	1
GC_00000894	SFerroplasmacircular	1
GC_00000894	SMAG00006	1
GC_00000895	S12936484	1
GC_00000895	S259100318	1
GC_00000895	S259100328	1
GC_00000895	S259100333	0
GC_00000895	S259100335	1
GC_00000895	S259100337	1
GC_00000895	S259100341	1
GC_00000895	S25910037	1
GC_00000895	S25910039	1
GC_00000895	S33314612	1
GC_00000895	S749695	1
GC_00000895	SFerroplasmacircular	1
GC_00000895	SMAG00006	1
GC_00000896	S12936484	1
GC_00000896	S259100318	1
GC_00000896	S259100328	0
GC_00000896	S259100333	1
GC_00000896	S259100335	1
GC_00000896	S259100337	1
GC_00000896	S259100341	1
GC_00000896	S25910037	1
GC_00000896	S25910039	1
GC_00000896	S33314612	1
GC_00000896	S749695	1
GC_00000896	SFerroplasmacircular	1
GC_00000896	SMAG00006	1
GC_00000897	S12936484	1
GC_00000897	S259100318	1
GC_00000897	S259100328	1
GC_00000897	S259100333	1
GC_00000897	S259100335	0
GC_00000897	S259100337	1
GC_00000897	S259100341	1
GC_00000897	S25910037	1
GC_00000897	S25910039	1
GC_00000897	S33314612	1
GC_00000897	S749695	1
GC_00000897	SFerroplasmacircular	1
GC_00000897	SMAG00006	1
GC_00000898	S12936484	1
GC_00000898	S259100318	1
GC_00000898	S259100328	1
GC_00000898	S259100333	1
GC_00000898	S259100335	1
GC_00000898	S259100337	1
GC_00000898	S259100341	1
GC_00000898	S25910037	1
GC_00000898	S25910039	1
GC_00000898	S33314612	1
GC_00000898	S749695	1
GC_00000898	SFerroplasmacircular	0
GC_00000898	SMAG00006	1
GC_00000899	S12936484	1
GC_00000899	S259100318	0
GC_00000899	S259100328	1
GC_00000899	S259100333	0
GC_00000899	S259100335	1
GC_00000899	S259100337	1
GC_00000899	S259100341	1
GC_00000899	S25910037	1
GC_00000899	S25910039	1
GC_00000899	S33314612	1
GC_00000899	S749695	1
GC_00000899	SFerroplasmacircular	1
GC_00000899	SMAG00006	1
GC_00000900	S12936484	1
GC_00000900	S259100318	1
GC_00000900	S259100328	1
GC_00000900	S259100333	1
GC_00000900	S259100335	1
GC_00000900	S259100337	0
GC_00000900	S259100341	1
GC_00000900	S25910037	1
GC_00000900	S25910039	1
GC_00000900	S33314612	1
GC_00000900	S749695	1
GC_00000900	SFerroplasmacircular	1
GC_00000900	SMAG00006	1
GC_00000901	S12936484	0
GC_00000901	S259100318	1
GC_00000901	S259100328	1
GC_00000901	S259100333	1
GC_00000901	S259100335	1
GC_00000901	S259100337	1
GC_00000901	S259100341	1
GC_00000901	S25910037	1
GC_00000901	S25910039	1
GC_00000901	S33314612	1
GC_00000901	S749695	1
GC_00000901	SFerroplasmacircular	1
GC_00000901	SMAG00006	1
GC_00000902	S12936484	1
GC_00000902	S259100318	1
GC_00000902	S259100328	1
GC_00000902	S259100333	1
GC_00000902	S259100335	1
GC_00000902	S259100337	0
GC_00000902	S259100341	1
GC_00000902	S25910037	1
GC_00000902	S25910039	1
GC_00000902	S33314612	1
GC_00000902	S749695	1
GC_00000902	SFerroplasmacircular	1
GC_00000902	SMAG00006	1
GC_00000903	S12936484	1
GC_00000903	S259100318	1
GC_00000903	S259100328	1
GC_00000903	S259100333	1
GC_00000903	S259100335	1
GC_00000903	S259100337	0
GC_00000903	S259100341	1
GC_00000903	S25910037	1
GC_00000903	S25910039	1
GC_00000903	S33314612	1
GC_00000903	S749695	1
GC_00000903	SFerroplasmacircular	1
GC_00000903	SMAG00006	1
GC_00000904	S12936484	1
GC_00000904	S259100318	1
GC_00000904	S259100328	0
GC_00000904	S259100333	1
GC_00000904	S259100335	1
GC_00000904	S259100337	1
GC_00000904	S259100341	1
GC_00000904	S25910037	1
GC_00000904	S25910039	1
GC_00000904	S33314612	1
GC_00000904	S749695	1
GC_00000904	SFerroplasmacircular	1
GC_00000904	SMAG00006	1
GC_00000905	S12936484	1
GC_00000905	S259100318	1
GC_00000905	S259100328	1
GC_00000905	S259100333	0
GC_00000905	S259100335	1
GC_00000905	S259100337	1
GC_00000905	S259100341	1
GC_00000905	S25910037	1
GC_00000905	S25910039	1
GC_00000905	S33314612	1
GC_00000905	S749695	1
GC_00000905	SFerroplasmacircular	1
GC_00000905	SMAG00006	1
GC_00000906	S12936484	1
GC_00000906	S259100318	1
GC_00000906	S259100328	1
GC_00000906	S259100333	1
GC_00000906	S259100335	1
GC_00000906	S259100337	0
GC_00000906	S259100341	1
GC_00000906	S25910037	1
GC_00000906	S25910039	1
GC_00000906	S33314612	1
GC_00000906	S749695	1
GC_00000906	SFerroplasmacircular	1
GC_00000906	SMAG00006	1
GC_00000907	S12936484	1
GC_00000907	S259100318	1
GC_00000907	S259100328	1
GC_00000907	S259100333	1
GC_00000907	S259100335	0
GC_00000907	S259100337	1
GC_00000907	S259100341	1
GC_00000907	S25910037	1
GC_00000907	S25910039	1
GC_00000907	S33314612	1
GC_00000907	S749695	1
GC_00000907	SFerroplasmacircular	1
GC_00000907	SMAG00006	1
GC_00000908	S12936484	1
GC_00000908	S259100318	1
GC_00000908	S259100328	1
GC_00000908	S259100333	1
GC_00000908	S259100335	1
GC_00000908	S259100337	1
GC_00000908	S259100341	0
GC_00000908	S25910037	1
GC_00000908	S25910039	1
GC_00000908	S33314612	1
GC_00000908	S749695	1
GC_00000908	SFerroplasmacircular	1
GC_00000908	SMAG00006	1
GC_00000909	S12936484	1
GC_00000909	S259100318	1
GC_00000909	S259100328	1
GC_00000909	S259100333	1
GC_00000909	S259100335	1
GC_00000909	S259100337	1
GC_00000909	S259100341	1
GC_00000909	S25910037	1
GC_00000909	S25910039	1
GC_00000909	S33314612	0
GC_00000909	S749695	0
GC_00000909	SFerroplasmacircular	1
GC_00000909	SMAG00006	1
GC_00000910	S12936484	0
GC_00000910	S259100318	1
GC_00000910	S259100328	1
GC_00000910	S259100333	1
GC_00000910	S259100335	1
GC_00000910	S259100337	1
GC_00000910	S259100341	1
GC_00000910	S25910037	1
GC_00000910	S25910039	1
GC_00000910	S33314612	1
GC_00000910	S749695	1
GC_00000910	SFerroplasmacircular	1
GC_00000910	SMAG00006	1
GC_00000911	S12936484	0
GC_00000911	S259100318	1
GC_00000911	S259100328	1
GC_00000911	S259100333	1
GC_00000911	S259100335	1
GC_00000911	S259100337	1
GC_00000911	S259100341	1
GC_00000911	S25910037	1
GC_00000911	S25910039	1
GC_00000911	S33314612	1
GC_00000911	S749695	1
GC_00000911	SFerroplasmacircular	1
GC_00000911	SMAG00006	1
GC_00000912	S12936484	1
GC_00000912	S259100318	1
GC_00000912	S259100328	1
GC_00000912	S259100333	1
GC_00000912	S259100335	1
GC_00000912	S259100337	0
GC_00000912	S259100341	1
GC_00000912	S25910037	1
GC_00000912	S25910039	1
GC_00000912	S33314612	1
GC_00000912	S749695	1
GC_00000912	SFerroplasmacircular	1
GC_00000912	SMAG00006	1
GC_00000913	S12936484	1
GC_00000913	S259100318	1
GC_00000913	S259100328	1
GC_00000913	S259100333	1
GC_00000913	S259100335	1
GC_00000913	S259100337	0
GC_00000913	S259100341	1
GC_00000913	S25910037	1
GC_00000913	S25910039	1
GC_00000913	S33314612	1
GC_00000913	S749695	1
GC_00000913	SFerroplasmacircular	1
GC_00000913	SMAG00006	1
GC_00000914	S12936484	1
GC_00000914	S259100318	1
GC_00000914	S259100328	1
GC_00000914	S259100333	1
GC_00000914	S259100335	1
GC_00000914	S259100337	1
GC_00000914	S259100341	1
GC_00000914	S25910037	0
GC_00000914	S25910039	1
GC_00000914	S33314612	1
GC_00000914	S749695	1
GC_00000914	SFerroplasmacircular	1
GC_00000914	SMAG00006	1
GC_00000915	S12936484	1
GC_00000915	S259100318	1
GC_00000915	S259100328	1
GC_00000915	S259100333	1
GC_00000915	S259100335	0
GC_00000915	S259100337	1
GC_00000915	S259100341	1
GC_00000915	S25910037	1
GC_00000915	S25910039	1
GC_00000915	S33314612	1
GC_00000915	S749695	1
GC_00000915	SFerroplasmacircular	1
GC_00000915	SMAG00006	1
GC_00000916	S12936484	1
GC_00000916	S259100318	1
GC_00000916	S259100328	1
GC_00000916	S259100333	1
GC_00000916	S259100335	1
GC_00000916	S259100337	0
GC_00000916	S259100341	1
GC_00000916	S25910037	1
GC_00000916	S25910039	1
GC_00000916	S33314612	1
GC_00000916	S749695	1
GC_00000916	SFerroplasmacircular	1
GC_00000916	SMAG00006	1
GC_00000917	S12936484	1
GC_00000917	S259100318	1
GC_00000917	S259100328	1
GC_00000917	S259100333	0
GC_00000917	S259100335	1
GC_00000917	S259100337	1
GC_00000917	S259100341	1
GC_00000917	S25910037	1
GC_00000917	S25910039	1
GC_00000917	S33314612	1
GC_00000917	S749695	1
GC_00000917	SFerroplasmacircular	1
GC_00000917	SMAG00006	1
GC_00000918	S12936484	1
GC_00000918	S259100318	1
GC_00000918	S259100328	1
GC_00000918	S259100333	1
GC_00000918	S259100335	0
GC_00000918	S259100337	1
GC_00000918	S259100341	1
GC_00000918	S25910037	1
GC_00000918	S25910039	1
GC_00000918	S33314612	1
GC_00000918	S749695	1
GC_00000918	SFerroplasmacircular	1
GC_00000918	SMAG00006	1
GC_00000919	S12936484	1
GC_00000919	S259100318	1
GC_00000919	S259100328	1
GC_00000919	S259100333	1
GC_00000919	S259100335	0
GC_00000919	S259100337	1
GC_00000919	S259100341	1
GC_00000919	S25910037	1
GC_00000919	S25910039	0
GC_00000919	S33314612	1
GC_00000919	S749695	1
GC_00000919	SFerroplasmacircular	1
GC_00000919	SMAG00006	1
GC_00000920	S12936484	1
GC_00000920	S259100318	1
GC_00000920	S259100328	1
GC_00000920	S259100333	1
GC_00000920	S259100335	1
GC_00000920	S259100337	0
GC_00000920	S259100341	1
GC_00000920	S25910037	1
GC_00000920	S25910039	1
GC_00000920	S33314612	1
GC_00000920	S749695	1
GC_00000920	SFerroplasmacircular	1
GC_00000920	SMAG00006	1
GC_00000921	S12936484	1
GC_00000921	S259100318	1
GC_00000921	S259100328	1
GC_00000921	S259100333	1
GC_00000921	S259100335	1
GC_00000921	S259100337	0
GC_00000921	S259100341	1
GC_00000921	S25910037	1
GC_00000921	S25910039	1
GC_00000921	S33314612	1
GC_00000921	S749695	1
GC_00000921	SFerroplasmacircular	1
GC_00000921	SMAG00006	1
GC_00000922	S12936484	1
GC_00000922	S259100318	1
GC_00000922	S259100328	1
GC_00000922	S259100333	1
GC_00000922	S259100335	0
GC_00000922	S259100337	1
GC_00000922	S259100341	1
GC_00000922	S25910037	1
GC_00000922	S25910039	1
GC_00000922	S33314612	1
GC_00000922	S749695	1
GC_00000922	SFerroplasmacircular	1
GC_00000922	SMAG00006	1
GC_00000923	S12936484	1
GC_00000923	S259100318	1
GC_00000923	S259100328	1
GC_00000923	S259100333	1
GC_00000923	S259100335	0
GC_00000923	S259100337	1
GC_00000923	S259100341	1
GC_00000923	S25910037	1
GC_00000923	S25910039	1
GC_00000923	S33314612	1
GC_00000923	S749695	1
GC_00000923	SFerroplasmacircular	1
GC_00000923	SMAG00006	1
GC_00000924	S12936484	1
GC_00000924	S259100318	1
GC_00000924	S259100328	1
GC_00000924	S259100333	0
GC_00000924	S259100335	1
GC_00000924	S259100337	1
GC_00000924	S259100341	1
GC_00000924	S25910037	1
GC_00000924	S25910039	1
GC_00000924	S33314612	1
GC_00000924	S749695	1
GC_00000924	SFerroplasmacircular	1
GC_00000924	SMAG00006	1
GC_00000925	S12936484	1
GC_00000925	S259100318	0
GC_00000925	S259100328	0
GC_00000925	S259100333	1
GC_00000925	S259100335	0
GC_00000925	S259100337	1
GC_00000925	S259100341	1
GC_00000925	S25910037	1
GC_00000925	S25910039	1
GC_00000925	S33314612	0
GC_00000925	S749695	0
GC_00000925	SFerroplasmacircular	0
GC_00000925	SMAG00006	0
GC_00000926	S12936484	1
GC_00000926	S259100318	0
GC_00000926	S259100328	1
GC_00000926	S259100333	1
GC_00000926	S259100335	0
GC_00000926	S259100337	0
GC_00000926	S259100341	0
GC_00000926	S25910037	1
GC_00000926	S25910039	1
GC_00000926	S33314612	1
GC_00000926	S749695	1
GC_00000926	SFerroplasmacircular	0
GC_00000926	SMAG00006	1
GC_00000927	S12936484	1
GC_00000927	S259100318	1
GC_00000927	S259100328	1
GC_00000927	S259100333	1
GC_00000927	S259100335	1
GC_00000927	S259100337	1
GC_00000927	S259100341	0
GC_00000927	S25910037	1
GC_00000927	S25910039	1
GC_00000927	S33314612	1
GC_00000927	S749695	1
GC_00000927	SFerroplasmacircular	1
GC_00000927	SMAG00006	1
GC_00000928	S12936484	1
GC_00000928	S259100318	1
GC_00000928	S259100328	1
GC_00000928	S259100333	1
GC_00000928	S259100335	0
GC_00000928	S259100337	0
GC_00000928	S259100341	1
GC_00000928	S25910037	1
GC_00000928	S25910039	1
GC_00000928	S33314612	1
GC_00000928	S749695	1
GC_00000928	SFerroplasmacircular	1
GC_00000928	SMAG00006	1
GC_00000929	S12936484	0
GC_00000929	S259100318	1
GC_00000929	S259100328	1
GC_00000929	S259100333	1
GC_00000929	S259100335	1
GC_00000929	S259100337	0
GC_00000929	S259100341	1
GC_00000929	S25910037	1
GC_00000929	S25910039	1
GC_00000929	S33314612	1
GC_00000929	S749695	1
GC_00000929	SFerroplasmacircular	1
GC_00000929	SMAG00006	1
GC_00000930	S12936484	1
GC_00000930	S259100318	1
GC_00000930	S259100328	1
GC_00000930	S259100333	1
GC_00000930	S259100335	0
GC_00000930	S259100337	1
GC_00000930	S259100341	0
GC_00000930	S25910037	1
GC_00000930	S25910039	1
GC_00000930	S33314612	1
GC_00000930	S749695	1
GC_00000930	SFerroplasmacircular	1
GC_00000930	SMAG00006	1
GC_00000931	S12936484	1
GC_00000931	S259100318	1
GC_00000931	S259100328	1
GC_00000931	S259100333	1
GC_00000931	S259100335	1
GC_00000931	S259100337	0
GC_00000931	S259100341	1
GC_00000931	S25910037	1
GC_00000931	S25910039	1
GC_00000931	S33314612	1
GC_00000931	S749695	1
GC_00000931	SFerroplasmacircular	1
GC_00000931	SMAG00006	1
GC_00000932	S12936484	1
GC_00000932	S259100318	1
GC_00000932	S259100328	1
GC_00000932	S259100333	1
GC_00000932	S259100335	0
GC_00000932	S259100337	1
GC_00000932	S259100341	1
GC_00000932	S25910037	1
GC_00000932	S25910039	1
GC_00000932	S33314612	1
GC_00000932	S749695	1
GC_00000932	SFerroplasmacircular	1
GC_00000932	SMAG00006	1
GC_00000933	S12936484	1
GC_00000933	S259100318	1
GC_00000933	S259100328	1
GC_00000933	S259100333	1
GC_00000933	S259100335	0
GC_00000933	S259100337	1
GC_00000933	S259100341	1
GC_00000933	S25910037	1
GC_00000933	S25910039	1
GC_00000933	S33314612	1
GC_00000933	S749695	1
GC_00000933	SFerroplasmacircular	1
GC_00000933	SMAG00006	1
GC_00000934	S12936484	1
GC_00000934	S259100318	1
GC_00000934	S259100328	1
GC_00000934	S259100333	1
GC_00000934	S259100335	1
GC_00000934	S259100337	0
GC_00000934	S259100341	1
GC_00000934	S25910037	1
GC_00000934	S25910039	1
GC_00000934	S33314612	1
GC_00000934	S749695	1
GC_00000934	SFerroplasmacircular	1
GC_00000934	SMAG00006	1
GC_00000935	S12936484	1
GC_00000935	S259100318	1
GC_00000935	S259100328	1
GC_00000935	S259100333	1
GC_00000935	S259100335	0
GC_00000935	S259100337	1
GC_00000935	S259100341	1
GC_00000935	S25910037	1
GC_00000935	S25910039	1
GC_00000935	S33314612	1
GC_00000935	S749695	1
GC_00000935	SFerroplasmacircular	1
GC_00000935	SMAG00006	1
GC_00000936	S12936484	1
GC_00000936	S259100318	1
GC_00000936	S259100328	1
GC_00000936	S259100333	1
GC_00000936	S259100335	0
GC_00000936	S259100337	1
GC_00000936	S259100341	1
GC_00000936	S25910037	0
GC_00000936	S25910039	1
GC_00000936	S33314612	1
GC_00000936	S749695	1
GC_00000936	SFerroplasmacircular	1
GC_00000936	SMAG00006	1
GC_00000937	S12936484	1
GC_00000937	S259100318	1
