contig_id	contig_length	genomad_taxonomy	vcat_taxonomy	vcontact3_taxonomy	checkv_quality	iphop_host	bacphlip_virulent_score	abundance_Sample_ERR10036468	abundance_Sample_ERR10036469	abundance_Sample_ERR10036470
c_000000028704	14393	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lessievirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8837115727024182	2,82E+08	4,20E+09	0
c_000000028943	18731	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Tupanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9751252743485768	0.00012938182296509	8,37E+09	0
c_000000029613	5357	Unclassified	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.9375	6,66E+09	0.000875928077789442	0
c_000000029915	2805	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.3375	0.00037544468223344	0.00551937819786621	0
c_000000029952	20742	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9992103416003744	8,99E+09	4,57E+08	0.0504619316932237
c_000000031774	3358	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.0	0.0012869064203994	0.0128772251759557	0
c_000000032575	11484	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Tupanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8848696795023974	8,11E+09	6,02E+09	0
c_000000032630	1746	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_Grandevirales;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8175660792951543	0.000840411126734309	0.000692877453051639	7,25E+09
c_000000033027	6769	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9989514536119699	0.00011772608831103	0.00158300130494231	0
c_000000033531	4449	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000116643761379194	0.00143620800182393	0
c_000000034736	3207	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8800312501502798	0.000268006812771502	0.0038153288473734	0
c_000000034917	19457	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.0	0.000700332986359652	0.000188863973880073	2,28E+09
c_000000035418	3048	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Moumouvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000802248714198913	0.000794043001497787	0
c_000000035760	32479	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8860132158590309	7,63E+09	7,22E+08	0
c_000000036063	20926	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	2,38E+08	4,47E+08	0
c_000000038249	3743	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.0358311526025291	0.00910489294740214	0
c_000000038589	2146	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.931779094256249	0.00461942400126715	0.0311967045885833	0
c_000000039543	2205	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_Yongunavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000185250591213712	0.00306150871158305	0
c_000000039787	4631	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Plaisancevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9972986238568456	9,37E+09	0.00152652798063542	0
c_000000039788	2819	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.6585541328662627	7,12E+09	0.00108331918271534	0
c_000000040902	13461	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Baikalvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	3,34E+08	3,75E+09	0
c_000000041023	2325	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000311535799158863	0.00455455212683957	0
c_000000041196	2311	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.010022026431718064	0.000112542316517155	0.00202275874037893	0
c_000000041311	11938	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.972522026431718	0.000311388968666165	0.000146405979076261	0.000302038202548491
c_000000041368	14093	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes"	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9675660792951544	0.0117825083526461	0.00122901000896098	0
c_000000041752	2653	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000507926538233549	0.00678514571909094	0
c_000000042037	8171	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Fromanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9392249343713737	0.000950445704428214	6,94E+08	0
c_000000042323	14939	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8576541850220263	5,63E+09	2,54E+09	7,20E+09
c_000000042376	2083	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Kelquatrovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix"	0.032544052863436125	6,36E+08	0.00108581615775469	0
c_000000042440	3021	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	7,46E+09	0.000930239303322325	0
c_000000042647	4133	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_Yongunavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9502202643171807	0.000137140712770907	0.00107442416822555	0
c_000000042810	4571	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00014187573157094	0.00202550318698194	0
c_000000042848	2667	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_Autographivirales;so_;f_;sf_;g_Vistulavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8837115727024182	5,42E+09	0.00117435283514621	0
c_000000042911	18309	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9570112779837082	1,50E+08	2,64E+09	0
c_000000043148	4247	NA	"r_;k_;p_;sp_;c_;o_;so_;f_Ovaliviridae;sf_;g_Alphaovalivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00104793835926278	0.000131509429341168	0
c_000000044083	5610	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_Peduovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9	0.000433792007915811	0.000478879599039346	0
c_000000045610	2849	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8800312501502798	5,56E+09	0.00123227208395828	0
c_000000046173	2804	NA	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Klosneuvirinae;g_Fadolivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.5593075137597883	0.0019405260165451	0.000891876273951574	0
c_000000046217	2516	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00033049328544492	0.00468156194258865	0
c_000000046380	3421	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lonsdalea"	0.55	0.000270427791417871	0.00486189712349033	0
c_000000046537	7690	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.8815634966272701	0.000142025339231973	3,91E+08	0.0234341146214327
c_000000047017	3578	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Kunmingvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000317139103538973	0.00443534025585553	0
c_000000048191	2254	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.0228380160287946	0.00593081221141382	0
c_000000048260	3795	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000253769484544354	0.00454103370468014	0
c_000000050268	1527	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_Sanguivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000152031000872414	0.00215640412485482	0
c_000000050743	4100	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Colunavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000139802460863622	0.00198069559971581	0
c_000000050790	10199	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.0125	0.00033022522012331	6,27E+09	0
c_000000052850	2743	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8362407930380643	0.000176811288132793	1,22E+09	0.049437323025737
c_000000053942	19850	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9972986238568456	3,63E+08	3,95E+09	0
c_000000054352	2617	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000172681162415938	0.00235703843914349	0
c_000000055241	3175	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.15	0.00015864873213784	0.0029408488269447	0
c_000000055946	2425	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000111272029561668	0.00141306645709755	0
c_000000056141	4000	NA	"r_Singelaviria;k_Helvetiavirae;p_Dividoviricota;sp_;c_Laserviricetes;o_Halopanivirales;so_;f_Simuloviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000562913511405755	3,66E+08	0
c_000000056482	4200	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.2875	0.00287230158765562	0.000746468995756774	3,01E+09
c_000000057654	1688	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lederbergvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.8200440528634362	0.0270188310976205	0.0166032504988255	0.243422602868319
c_000000058149	28989	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8848696795023974	8,34E+09	4,38E+09	0
c_000000058224	7567	NA	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Tupanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	8,32E+09	0.00115736624055123	0
c_000000059988	20293	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9900881057268723	0.0121809697263624	0.00143279036728852	0
c_000000060190	3590	NA	"r_Monodnaviria;k_Loebvirae;p_Hofneiviricota;sp_;c_Faserviricetes;o_Tubulavirales;so_;f_Inoviridae;sf_;g_Restivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8529185022026432	0.000495906322928745	0.00643432515085281	0
c_000000060897	3832	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.6325440528634362	0.031749117723882	0.0184991312883654	1,65E+08
c_000000061670	10310	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.5625	0.00113804216319774	0.0159171676917377	0
c_000000061894	17069	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.7614514536119701	4,49E+08	2,56E+09	1,11E+09
c_000000062507	3935	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00428719133511204	0.000617013062130379	0
c_000000065486	2154	NA	"r_Monodnaviria;k_Loebvirae;p_Hofneiviricota;sp_;c_Faserviricetes;o_Tubulavirales;so_;f_Inoviridae;sf_;g_Restivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9620052770448548	0.00152883932807268	0.018017116194132	0
c_000000066029	3150	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000530224132951461	0.000177151706932905	0
c_000000066576	1823	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.025	0.00108279110500317	0.000586835105332812	0.00406991702183021
c_000000067813	3985	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_Gracegardnervirinae;g_Cheoctovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8224696221687774	0.00950680930822842	0.005395834204055	0
c_000000067874	4611	NA	"r_Adnaviria;k_Zilligvirae;p_Taleaviricota;sp_;c_Tokiviricetes;o_Maximonvirales;so_;f_Ahmunviridae;sf_;g_Yumkaaxvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8152193465783952	0.000207282880736629	0.00242639703204289	0
c_000000068081	13638	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.1875	0.000892054295672278	0.000370331104432191	0.00362022008843417
c_000000068396	3510	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000140534401847476	0.00160321063807295	0
c_000000070423	3660	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.931779094256249	0.000814731172824968	0.0081386052106111	0
c_000000071503	2998	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000197753871712727	0.00283411962223813	0
c_000000071775	1962	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.0	0.000298410933891215	0.00424919941597809	0
c_000000071974	1520	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.11808866468267136	0.000240099148555697	0.00439946282931165	0
c_000000073338	1985	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_Autographivirales;so_;f_Autonotataviridae;sf_;g_Sukuvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.0125	5,53E+09	0.000956208542634962	0
c_000000074076	2890	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8457295456074171	0.000124753462851374	0.0017288894772115	0
c_000000074217	2224	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000499619629399736	0	0
c_000000075737	3310	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000542391512999344	0.00461174213878015	0
c_000000075757	11456	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.0125	1,10E+09	0.000170490948793817	0
c_000000076072	3953	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus"	0.8118782016546146	0.000504600583909898	1,93E+07	0
c_000000077008	2719	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8118782016546146	6,21E+09	0.00102946248508194	0
c_000000077133	2808	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Eagleeyevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	8,85E+07	0.0014883253049592	0
c_000000077963	3618	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Connertonviridae;sf_;g_Fletchervirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.9029185022026432	0.000580553880625403	0.000233786729832739	0.00238899345309773
c_000000078366	24871	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Tupanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8728492602675558	7,88E+08	9,87E+09	0
c_000000079545	35658	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	3,21E+08	4,29E+09	0
c_000000080778	10735	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.0	3,93E+09	0.000574779403696397	0
c_000000081023	3001	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00017567474815004	0.00306207784726658	0
c_000000084658	9816	"Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae"	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9875	0.000385151164998875	1,76E+09	0
c_000000084756	22225	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8930344703618875	0.000106691835479352	1,30E+09	0
c_000000084926	1814	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Latrobevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8861895462707002	0.00319219159358011	0.00133316055050293	0
c_000000084932	17204	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.0	0.000483398672815661	0.000134225797015313	1,84E+08
c_000000086252	1642	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_Pantevenvirales;so_;f_Kyanoviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	8,13E+09	0.00114077494290725	0
c_000000086287	2320	NA	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Klosneuvirinae;g_Theiavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.640608027457094	0.000536795431970483	0.000324843926517596	0.000135206678077271
c_000000086334	3671	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8287014312450708	0.000314184918703539	0.00436612214300954	0
c_000000088517	2307	NA	"r_Monodnaviria;k_Loebvirae;p_Hofneiviricota;sp_;c_Faserviricetes;o_Tubulavirales;so_;f_Paulinoviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000228145621792903	0.00142681922704106	0
c_000000088572	1620	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Bugaksanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8225797543273679	0.000140609283870765	0.00232557661785498	0
c_000000088765	4404	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_Sanguivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.2625	0.000570585358717595	0.00780772388174028	0
c_000000088771	2699	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000471277904905125	0.000227637765485207	0
